,timestamp,user,nofol,retfl,noret,nofav,text,picurl,time,date
1100,2016-12-20 02:52:00,Dasthageer99,11096,True,14,0,"RT @Telugu360: One of its kind initiative, TS iPASS enables more than 5 lakh jobs in Telangana tells @MinIT_Telangana @KTRTRS.
2016-12-20 02:26:27,MinIT_Telangana,76483,True,14,0,""RT @Telugu360: One of its kind initiative, TS iPASS enables more than 5 lakh jobs in Telangana tells @MinIT_Telangana @KTRTRS.
2016-12-20 02:24:54,rohit4aap,65,True,1,0,RT @MinIT_Telangana: @Sriniva25567916 Thanks for escalating. Will ask the concerned to resolve.,http://pbs.twimg.com/profile_images/554314259996217345/jqgeQwiE_normal.jpeg,,,
2016-12-19 13:00:06,santoshnevuri,30,False,0,0,""@ntdailyonlin @MinIT_Telangana KTR garu plz well educate MLAs,ZPTCs &amp;local leaders to provide fair &amp; transparent services for IT development",http://pbs.twimg.com/profile_images/773875540759572480/U7Tj9zSg_normal.jpg,02:52:00,2016-12-20
1101,2016-12-19 11:37:00,Its_Arunputta,6,True,88,0,RT @MinIT_Telangana: A proactive approach from state govt results in smaller cities in Telangana transforming into new IT destinations: @Te…,http://pbs.twimg.com/profile_images/788463232738586624/1XNWtcBi_normal.jpg,11:37:00,2016-12-19
1102,2016-12-19 09:58:00,IamSyedAleem,16712,True,40,0,"RT @MinIT_Telangana: Minister @KTRTRS is currently chairing a review meeting on @GHMCOnline issues along with Hyderabad Ministers, MLAs, ML…",http://pbs.twimg.com/profile_images/810552140422725632/nDw1wLzG_normal.jpg,09:58:00,2016-12-19
1103,2016-12-19 08:10:00,DC_Serilingmply,3,False,0,0,"@zcwz_ghmc @rameshshettys @MinIT_Telangana @GHMCOnline Sir, the demolition of unauthorized building has been starte… https://t.co/ygkkIs8xX9",http://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png,08:10:00,2016-12-19
1104,2016-12-19 06:21:00,Lagganisrinivas,65,False,0,0,"@MinIT_Telangana @TelanganaToday , Employment opportunities for Youth at small towns will improve,real talent need not migrate to big towns.",http://pbs.twimg.com/profile_images/733667809545191425/gKuz60mO_normal.jpg,06:21:00,2016-12-19
1105,2016-12-19 06:07:00,Lagganisrinivas,65,False,0,2,"Telangana youth will get real good opportunities &amp; employment with our Honrble @MinIT_Telangana, plans &amp; genuine ef… https://t.co/vtvzfyibns",http://pbs.twimg.com/profile_images/733667809545191425/gKuz60mO_normal.jpg,06:07:00,2016-12-19
1106,2016-12-19 06:03:00,Sriniva25567916,14,False,0,0,"@MinIT_Telangana sir, DTCP HELP LINE NUMBER 040 23313176 is not responding to Online building customer. For the last 5 days.Pls try yourself",http://pbs.twimg.com/profile_images/642229690057396224/D6QGYxTB_normal.jpg,06:03:00,2016-12-19
1107,2016-12-18 21:31:00,AlisomisnOliver,1,True,83,0,"RT @MinIT_Telangana: Minister KTR received the award from hon'ble Union Minister @arunjaitley Ji, on behalf of Govt of Telangana. https://t…",http://pbs.twimg.com/profile_images/810596799547404288/hW5wt19f_normal.jpg,21:31:00,2016-12-18
1108,2016-12-18 21:19:00,SatishChanderR1,3,False,0,0,@MinIT_Telangana @TelanganaToday what is the plan after Trump get in to White House?,http://pbs.twimg.com/profile_images/810504033286975488/AREp2jZ7_normal.jpg,21:19:00,2016-12-18
1109,2016-12-18 21:04:00,DesiInCT,290,True,14,0,"RT @THubHyd: @travisk interacting w/ #THub #startups discussing his philosophy of ""Always be #jugaad-ing"" #TravisAtTHub @MinIT_Telangana @j…",http://pbs.twimg.com/profile_images/2095936842/556255_357742247596161_166891610014560_946759_714123047_n_normal.jpg,21:04:00,2016-12-18
1110,2016-12-18 18:57:00,sure23,152,False,0,0,@MinIT_Telangana @TelanganaToday This model should be followed by every state.. Very good steps taken by KCR govt in TS.,http://pbs.twimg.com/profile_images/432565814706053121/WecQxuXd_normal.jpeg,18:57:00,2016-12-18
1111,2016-12-18 18:56:00,sure23,152,True,88,0,RT @MinIT_Telangana: A proactive approach from state govt results in smaller cities in Telangana transforming into new IT destinations: @Te…,http://pbs.twimg.com/profile_images/432565814706053121/WecQxuXd_normal.jpeg,18:56:00,2016-12-18
1112,2016-12-18 18:39:00,jayadevgyani,223,False,0,0,@MinIT_Telangana @TelanganaToday Greatly benefits youth to stay at their own places!!!,http://pbs.twimg.com/profile_images/440792043850170368/m6y0u-eS_normal.jpeg,18:39:00,2016-12-18
1113,2016-12-18 18:30:00,masattartrs,168,True,88,0,RT @MinIT_Telangana: A proactive approach from state govt results in smaller cities in Telangana transforming into new IT destinations: @Te…,http://pbs.twimg.com/profile_images/788716786325696514/HmNnOoTN_normal.jpg,18:30:00,2016-12-18
1114,2016-12-18 14:43:00,chvijay24,71,False,0,0,"@narendramodi_in @FinMinIndia How to use USSD API if I want to pay Property Tax, Electricity Bill in Hyderabad? No clarity @MinIT_Telangana",http://pbs.twimg.com/profile_images/810141646385913856/pqmnQi36_normal.jpg,14:43:00,2016-12-18
